,y,N,i,d,K,x
0,0.23900000000000002,4905,1,0,2,2
1,0.39,4905,1,0,2,2
2,0.33,4905,1,0,2,2
3,0.196,4905,1,0,2,2
4,0.12,4905,1,0,2,2
5,0.121,4905,1,0,2,2
6,0.148,4905,1,0,2,2
7,0.10200000000000001,4905,1,0,2,2
8,0.28400000000000003,4905,1,0,2,2
9,0.602,4905,1,0,2,2
10,0.059000000000000004,4905,1,0,2,2
11,0.075,4905,1,0,2,2
12,0.148,4905,1,0,2,2
13,0.311,4905,1,0,2,2
14,0.28300000000000003,4905,1,0,2,2
15,0.058,4905,1,0,2,2
16,0.10300000000000001,4905,1,0,2,2
17,1.561,4905,1,0,2,2
18,0.193,4905,0,0,2,2
19,0.63,4905,0,0,2,2
20,0.34400000000000003,4905,0,0,2,2
21,4.368,4905,1,0,2,2
22,0.638,4905,1,0,2,2
23,0.057,4905,1,0,2,2
24,0.057,4905,1,0,2,2
25,0.11800000000000001,4905,1,1,2,2
26,0.361,4905,1,1,2,2
27,0.527,4905,1,1,2,2
28,0.839,4905,1,1,2,2
29,0.5700000000000001,4905,1,1,2,2
30,4.999,4905,1,1,2,2
31,0.163,4905,1,1,2,2
32,1.412,4905,1,1,2,2
33,0.339,4905,0,0,2,2
34,1.149,4905,0,0,2,2
35,0.165,4905,0,0,2,2
36,0.23800000000000002,4905,0,0,2,2
37,0.06,4905,1,0,2,2
38,0.163,4905,1,0,2,2
39,0.089,4905,0,0,2,2
40,0.194,4905,0,0,2,2
41,0.31,4905,0,1,2,2
42,0.976,4905,0,1,2,2
43,0.342,4905,0,1,2,2
44,0.123,4905,0,1,2,2
45,0.161,4905,0,1,2,2
46,0.5930000000000001,4905,0,1,2,2
47,0.51,4905,1,1,2,2
48,3.0380000000000003,4905,1,1,2,2
49,0.059000000000000004,4905,1,1,2,2
50,0.105,4905,1,0,2,2
51,0.076,4905,1,0,2,2
52,0.197,4905,1,0,2,2
53,0.255,4905,1,0,2,2
54,0.135,4905,1,0,2,2
55,0.12,4905,1,0,2,2
56,0.16299999999999998,4905,1,0,2,2
57,0.074,4905,1,0,2,2
58,0.722,4905,1,0,2,2
59,0.774,4905,1,0,2,2
60,0.386,4905,1,0,2,2
61,0.8170000000000001,4905,1,0,2,2
62,0.45999999999999996,4905,1,0,2,2
63,0.10300000000000001,4905,1,0,2,2
64,0.148,4905,1,0,2,2
65,0.059000000000000004,4905,0,0,2,2
66,1.171,4905,1,1,2,2
67,1.9449999999999998,4905,1,1,2,2
68,0.909,4905,1,1,2,2
69,0.962,4905,1,1,2,2
70,0.463,4905,1,1,2,2
71,0.193,4905,1,1,2,2
72,0.255,4905,1,1,2,2
73,1.014,4905,1,1,2,2
74,0.10300000000000001,4905,1,1,2,2
75,0.132,4905,1,1,2,2
76,0.162,4905,1,0,2,2
77,0.226,4905,1,0,2,2
78,0.057,4905,1,0,2,2
79,0.10200000000000001,4905,1,0,2,2
80,0.075,4905,1,0,2,2
81,0.10300000000000001,4905,1,0,2,2
82,0.21,4905,1,0,2,2
83,0.196,4905,1,0,2,2
84,0.105,4905,1,0,2,2
85,0.388,4905,1,0,2,2
86,0.10400000000000001,4905,1,0,2,2
87,0.757,4905,1,0,2,2
88,2.1870000000000003,4905,1,0,2,2
89,1.8570000000000002,4905,1,0,2,2
90,0.6900000000000001,4905,1,1,2,2
91,0.10300000000000001,4905,1,1,2,2
92,0.23800000000000002,4905,0,1,2,2
93,0.44600000000000006,4905,0,1,2,2
94,0.11800000000000001,4905,0,1,2,2
95,0.075,4905,1,0,2,2
96,0.255,4905,1,0,2,2
97,3.7560000000000002,4905,1,1,2,2
98,0.28500000000000003,4905,1,1,2,2
99,1.282,4905,0,1,2,2
100,0.564,4905,0,1,2,2
101,0.23800000000000002,4905,0,1,2,2
102,3.214,4905,0,1,2,2
103,0.194,4905,0,1,2,2
104,0.548,4905,0,1,2,2
105,0.40700000000000003,4905,0,1,2,2
106,0.253,4905,0,1,2,2
107,0.34500000000000003,4905,0,1,2,2
108,2.5140000000000002,4905,0,1,2,2
109,0.18,4905,0,1,2,2
110,0.7150000000000001,4905,0,1,2,2
111,0.059000000000000004,4905,0,0,2,2
112,0.867,4905,0,1,2,2
113,0.598,4905,0,1,2,2
114,2.762,4905,0,1,2,2
115,0.117,4905,0,1,2,2
116,0.28300000000000003,4905,0,1,2,2
117,0.349,4905,0,1,2,2
118,0.545,4905,0,1,2,2
119,0.163,4905,0,1,2,2
120,0.11900000000000001,4905,0,1,2,2
121,0.088,4905,0,0,2,2
122,0.311,4905,0,0,2,2
123,0.09,4905,0,0,2,2
124,0.262,4905,1,0,2,2
125,0.345,4905,1,0,2,2
126,0.18,4905,1,1,2,2
